vendor_name,vendor_address,invoice_number,invoice_date,currency,customer_name,customer_address,description_of_item,quantity,unit_price,total_price,total_amount
Pizza Hut,"100 Elm St, Chicago, IL 60601",75130363,2025-02-22,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Breakfast with client,1,$17.43,$14.92,14.6
Pizza Hut,"100 Elm St, Chicago, IL 60601",75130363,2025-03-08,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business lunch with client,1,$9.26,$6.76,11.17
Subway,"21 King St, New York, NY 10001",75130363,2025-01-28,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business snacks with client,1,$25.01,$15.04,18.38
Dominos,"77 Queen Rd, Houston, TX 77001",75130363,2025-05-06,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Dinner with client,1,$26.18,$19.75,15.77
Pizza Hut,"100 Elm St, Chicago, IL 60601",75190049,2025-03-08,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Breakfast with client,1,$13.89,$17.42,21.29
Subway,"21 King St, New York, NY 10001",75190049,2025-05-06,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business lunch with client,1,$6.27,$11.12,11.01
Dominos,"77 Queen Rd, Houston, TX 77001",75190049,2025-05-22,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business snacks with client,1,$15.97,$20.78,22.28
Subway,"21 King St, New York, NY 10001",75190049,2025-01-17,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Dinner with client,1,$13.97,$13.3,17.1
Subway,"21 King St, New York, NY 10001",83483104,2025-03-14,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Breakfast with client,1,$18.64,$12.37,11.84
Pizza Hut,"100 Elm St, Chicago, IL 60601",83483104,2025-05-12,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business lunch with client,1,$5.45,$6.27,6.96
Olive Garden,"500 Market St, San Francisco, CA 94105",83483104,2025-05-21,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business snacks with client,1,$27.73,$23.91,32.94
Pizza Hut,"100 Elm St, Chicago, IL 60601",83483104,2025-03-12,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Dinner with client,1,$19.28,$19.42,17.73
Olive Garden,"500 Market St, San Francisco, CA 94105",76760127,2025-04-08,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Breakfast with client,1,$17.51,$14.59,15.4
Pizza Hut,"100 Elm St, Chicago, IL 60601",76760127,2025-03-06,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business lunch with client,1,$7.18,$6.18,7.57
Starbucks,"9 Lakeview Ave, Seattle, WA 98101",76760127,2025-04-19,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business snacks with client,1,$14.83,$27.68,26.45
Starbucks,"9 Lakeview Ave, Seattle, WA 98101",76760127,2025-04-10,USD,Jones LLC,"0875 Charles Village Suite 140 Reidfort, NC 33037",Business Dinner with client,1,$25.74,$17.5,26.26
